osm_id,osm_type,tunnel,oneway,bridge,surface,lanes,smoothness,name,width,layer,highway,longitude,latitude,geom_type
834183771,ways_line,,,,,,,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,,,primary,79.96909965,12.6994888,LINESTRING
513392664,ways_line,,yes,,,,,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,,,primary,79.9688323630763,12.6996785919681,LINESTRING
513392662,ways_line,,yes,,,,,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,,,primary,79.9687946421103,12.6996095391684,LINESTRING
24161891,ways_line,,,,,"2",,Chennai - Trichy - Dindugal Road (Old NH45),,,primary,79.980750031125,12.6906000364716,LINESTRING
96789520,ways_line,,,yes,,"2",,Chennai - Trichy - Dindugal Road (Old NH45),,"1",primary,79.9761198305779,12.7005991377903,LINESTRING
830605823,ways_line,,,,,"2",,Chennai - Trichy - Dindugal Road (Old NH45),,,primary,79.9770112702795,12.7048215883739,LINESTRING
513392674,ways_line,,,,,,,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,,,primary,79.9726176422241,12.697810139408,LINESTRING
446983531,ways_line,,yes,,,,,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,,,primary,79.98861545,12.68201985,LINESTRING
446983532,ways_line,,,,,,,Madras Thiruttani Road,,,primary,79.9887949,12.68198725,LINESTRING
230865951,ways_line,,yes,yes,,,,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,,"1",primary,79.984749418141,12.6828896882327,LINESTRING
446983527,ways_line,,yes,,,,,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,,"1",primary,79.98339295,12.6829619,LINESTRING
835741613,ways_line,,,yes,,,,Vellanur - Red Hills Road,,"1",secondary,80.1031882,13.15665125,LINESTRING
834092624,ways_line,,,yes,,,,Korattur – Thinnanur – Periyapalayam Road,,"1",primary,80.03177475,13.16312055,LINESTRING
1193709249,ways_line,,yes,,,,,,,,secondary,80.070449775077,12.8324012870231,LINESTRING
1139100126,ways_line,,no,,asphalt,,,Nellikuppam Road,,,secondary,80.06785085,12.8344865,LINESTRING
768139895,ways_line,,yes,yes,,,,,,"1",secondary,80.17977965,13.10844045,LINESTRING
102574541,ways_line,,yes,yes,,,,,,"1",secondary,80.17978225,13.108496,LINESTRING
543822033,ways_line,,,yes,,,,,,"1",secondary,80.0925666,13.10225735,LINESTRING
385231083,ways_line,,yes,yes,,,,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,,"1",primary,80.17417915,13.1942166,LINESTRING
836277453,ways_line,,yes,,,,,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,,,primary,80.1749534725624,13.1943041470142,LINESTRING
102550198,ways_line,,yes,yes,,,,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,,"1",primary,80.17432175,13.1940038,LINESTRING
1118335024,ways_line,,yes,,,,,,,,primary,80.1769822868448,13.1369409565086,LINESTRING
1152218366,ways_line,,,,,,,,,,secondary,80.1735897,13.1329513,LINESTRING
1040746682,ways_line,,,,,,,Grand Northern Trunk Road (Old NH5),,,primary,80.1328306480523,13.396255332699,LINESTRING
1040746681,ways_line,,,yes,,,,Grand Northern Trunk Road (Old NH5),,"1",primary,80.1319465278232,13.3987740729585,LINESTRING
909498828,ways_line,,,yes,,,,Mudukarai - Kadalur Road,,"1",secondary,80.01708455,12.4442058,LINESTRING
45400963,ways_line,,,yes,,"2",,Pudupattinam Road,,"1",secondary,80.1526263016937,12.5036133589711,LINESTRING
45400964,ways_line,,,,asphalt,"2",,Pudupattinam Road,,,secondary,80.1517259771514,12.5037526436427,LINESTRING
1039350370,ways_line,,,,asphalt,"2",,Pudupattinam Road,,,secondary,80.1537165354165,12.5032899182498,LINESTRING
828797550,ways_line,,yes,,,,,,,,primary,80.1509690365239,12.5039860725662,LINESTRING
828797551,ways_line,,yes,,,,,,,,primary,80.1510352872909,12.5039642236985,LINESTRING
828797552,ways_line,,,,,,,,,,primary,80.1495330927454,12.507674976639,LINESTRING
835741614,ways_line,,,,,,,Vellanur - Red Hills Road,,,secondary,80.1012157594323,13.1556696398395,LINESTRING
835748176,ways_line,,,yes,,,,Kovilpadagai Main Road,,"1",secondary,80.0994381,13.1545008,LINESTRING
837100337,ways_line,,,,,,,,,,secondary,80.0812174217555,12.8853552747294,LINESTRING
752866122,ways_line,,yes,yes,,,,Marmalong Bridge - Irumbuliyur - Vandalur - Mudichur - Oragadam - Walajabad Road,,"1",primary,80.07869045,12.8924114,LINESTRING
833486781,ways_line,,,yes,,,,Tiruvallur - Karasangal Road,,"1",secondary,80.0411573,12.89760855,LINESTRING
1192831644,ways_line,,yes,,,,,,,,primary,80.17150265,13.13220115,LINESTRING
1120324767,ways_line,,yes,,,,,,,,primary,80.24300895,12.86711725,LINESTRING
1120324769,ways_line,,yes,,,,,,,,primary,80.24308705,12.8670998,LINESTRING
1120324768,ways_line,,yes,,,,,,,,primary,80.24272245,12.86631135,LINESTRING
1122574995,ways_line,,yes,,,"2",,Rajiv Gandhi Salai,,,primary,80.22700755,12.8765427,LINESTRING
22744581,ways_line,,yes,,,,,Kalaingar Karunanidhi Salai,,,primary,80.24743975,12.8976292,LINESTRING
1148734789,ways_line,,yes,,,"2",,East Coast Road,,,primary,80.24741415,12.89769285,LINESTRING
1148734790,ways_line,,yes,,,"2",,East Coast Road,,,primary,80.2474909,12.8976773,LINESTRING
729835696,ways_line,,yes,yes,,,,Marmalong Bridge - Irumbuliyur - Vandalur - Mudichur - Oragadam - Walajabad Road,,"1",primary,80.05848345,12.8951694,LINESTRING
535357221,ways_line,,yes,yes,,,,Marmalong Bridge - Irumbuliyur - Vandalur - Mudichur - Oragadam - Walajabad Road,,"1",primary,80.0584887,12.8952806,LINESTRING
1129143545,ways_line,,yes,,,,,East Coast Road,,,primary,80.2416417568791,12.8551159927033,LINESTRING
1198741668,ways_line,,yes,,paved,"2",good,Medavakkam - Mambakkam - Sembakkam Road,,,primary,80.1924083,12.91720965,LINESTRING
667064407,ways_line,,,,,,,,,,primary,80.1952976,12.91240575,LINESTRING
1068239141,ways_line,,yes,yes,,,,,,"1",primary,80.0858832,13.212655,LINESTRING
1068239142,ways_line,,yes,yes,,,,,,"1",primary,80.0859054,13.212744,LINESTRING
1068239137,ways_line,,yes,yes,,,,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,,"1",primary,80.04374745,13.2164192,LINESTRING
1068239136,ways_line,,yes,yes,,,,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,,"1",primary,80.04370345,13.21635555,LINESTRING
1068239138,ways_line,,,,,,,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,,,primary,80.0531365,13.2140761,LINESTRING
32730951,ways_line,,,yes,,,,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,,,primary,80.1586994,12.53460505,LINESTRING
524465343,ways_line,,yes,yes,asphalt,"2",,Old Mahabalipuram Road,,"1",primary,80.1790134,12.67621675,LINESTRING
524491407,ways_line,,yes,yes,asphalt,"2",,Old Mahabalipuram Road,,"1",primary,80.17892375,12.6762214,LINESTRING
524491408,ways_line,,yes,,asphalt,"2",,Old Mahabalipuram Road,,,primary,80.1788648403265,12.6746737229322,LINESTRING
524491400,ways_line,,yes,,asphalt,"2",,Old Mahabalipuram Road,,,primary,80.1785739349205,12.6704032526457,LINESTRING
524491390,ways_line,,yes,yes,asphalt,"2",,Old Mahabalipuram Road,,"1",primary,80.1769245,12.6592569,LINESTRING
524491391,ways_line,,yes,,asphalt,"2",,Old Mahabalipuram Road,,,primary,80.1774627115615,12.6627597882684,LINESTRING
524491389,ways_line,,yes,,asphalt,"2",,Old Mahabalipuram Road,,,primary,80.1773761085061,12.6627836947057,LINESTRING
524491393,ways_line,,yes,yes,asphalt,"2",,Old Mahabalipuram Road,,"1",primary,80.1779055,12.6662794,LINESTRING
524491395,ways_line,,yes,,asphalt,"2",,Old Mahabalipuram Road,,,primary,80.17810585,12.6669951,LINESTRING
837835651,ways_line,,yes,,,,,Pudupattinam Road,,,secondary,80.0744212,12.59125065,LINESTRING
829077050,ways_line,,yes,,,"3",,Old Mahabalipuram Road,,,primary,80.2100563,12.7624698,LINESTRING
829077057,ways_line,,yes,yes,,,,,,"1",primary,80.2103897,12.76303775,LINESTRING
829077054,ways_line,,yes,yes,,"3",,Old Mahabalipuram Road,,"1",primary,80.2102971,12.76307105,LINESTRING
829077052,ways_line,,yes,yes,,,,,,"1",primary,80.2098696,12.7617662,LINESTRING
827588719,ways_line,,,yes,,,good,Medavakkam - Mambakkam - Sembakkam Road,,"1",primary,80.14289795,12.75217615,LINESTRING
830624343,ways_line,,,yes,,,,Pudupattinam Road,,"1",secondary,80.0656262,12.53892595,LINESTRING
1057081382,ways_line,,,,,,,,,,primary,80.14943025,12.84433815,LINESTRING
760444674,ways_line,,,,,,,,,,primary,80.13885115,12.8526374,LINESTRING
839272187,ways_line,,yes,,,"2",,East Coast Road,,,trunk,80.1422025517286,12.5702801947361,LINESTRING
761395721,ways_line,,yes,,,,,,,,primary,80.1904611046348,12.7355512247614,LINESTRING
761395722,ways_line,,yes,,,,,,,,primary,80.1944568064909,12.7396421392309,LINESTRING
524465344,ways_line,,,,asphalt,"2",,Old Mahabalipuram Road,,,primary,80.1811589237493,12.6942964318304,LINESTRING
1121152371,ways_line,,yes,,,"2",,East Coast Road,,,primary,80.2420816349606,12.8622195012422,LINESTRING
839284861,ways_line,,,,,,good,Medavakkam - Mambakkam - Sembakkam Road,,,primary,80.1754495157729,12.8689081204629,LINESTRING
839284860,ways_line,,,yes,,,good,Medavakkam - Mambakkam - Sembakkam Road,,"1",primary,80.17468135,12.87008675,LINESTRING
1214786277,ways_line,,yes,,,"2",,Grand Southern Trunk Road,,,trunk,80.075704340305,12.8680441337795,LINESTRING
1078278285,ways_line,,yes,,,,,Rajiv Gandhi Salai,,,primary,80.2266767432379,12.8081286564472,LINESTRING
1065989158,ways_line,,yes,,,,,,,,primary,80.2265292971803,12.8083149579696,LINESTRING
767936862,ways_line,,yes,yes,,,,East Coast Road (Thiruvanmiyur - Mahabalipuram - Marakkanam - Pondicherry Road),,"1",primary,80.24269485,12.80403565,LINESTRING
1065992650,ways_line,,yes,yes,,,,East Coast Road,,"1",trunk,80.1413475,12.5181816,LINESTRING
1065992652,ways_line,,yes,yes,,,,East Coast Road,,"1",trunk,80.14126275,12.5181861,LINESTRING
1065992659,ways_line,,yes,,,,,East Coast Road,,,trunk,80.1412449,12.51798735,LINESTRING
1065992657,ways_line,,yes,,,,,East Coast Road,,,trunk,80.1413298,12.51798075,LINESTRING
909870010,ways_line,,yes,,,,,Thirukazhukundram Bypass Road,,,secondary,80.052607,12.62493565,LINESTRING
835726499,ways_line,,yes,yes,,"2",,Rajiv Gandhi Salai,,"1",primary,80.2312967,12.8243245,LINESTRING
835984459,ways_line,,yes,yes,,"2",,Rajiv Gandhi Salai,,"1",primary,80.2292765,12.81443305,LINESTRING
