vehicle_number,device_id,speed,total_distance,fuel,data_received,latitude,longitude,location_text,scraped_at
TN 21 BY 1639,7402,0.0,0.0,206.08,03/09/2025 23:58:53,13.159276666666667,80.11026833333334,11026833333334,2025-09-04T23:18:05.933739
TN 21 BY 1639,7402,0.0,0.0,206.09,03/09/2025 23:58:45,13.159276666666667,80.11026833333334,11026833333334,2025-09-04T23:18:05.933947
TN 21 BY 1639,7402,0.0,0.0,206.09,03/09/2025 23:58:32,13.159276666666667,80.11026833333334,11026833333334,2025-09-04T23:18:05.934136
TN 21 BY 1639,7402,0.0,0.0,206.09,03/09/2025 23:58:23,13.159276666666667,80.11026833333334,11026833333334,2025-09-04T23:18:05.934294
TN 21 BY 1639,7402,0.0,0.0,206.08,03/09/2025 23:58:13,13.159276666666667,80.11026833333334,11026833333334,2025-09-04T23:18:05.934424
TN 21 BY 1639,7402,0.0,0.0,206.09,03/09/2025 23:58:03,13.159276666666667,80.11026833333334,11026833333334,2025-09-04T23:18:05.934577
TN 21 BY 1639,7402,0.0,0.0,206.09,03/09/2025 23:57:53,13.159276666666667,80.11026833333334,11026833333334,2025-09-04T23:18:05.934737
TN 21 BY 1639,7402,0.0,0.0,206.09,03/09/2025 23:57:46,13.159276666666667,80.11026833333334,11026833333334,2025-09-04T23:18:05.934899
TN 21 BY 1639,7402,0.0,0.0,206.09,03/09/2025 23:57:33,13.159276666666667,80.11026833333334,11026833333334,2025-09-04T23:18:05.935056
TN 21 BY 1639,7402,0.0,0.0,206.09,03/09/2025 23:57:23,13.159276666666667,80.11026833333334,11026833333334,2025-09-04T23:18:05.935222
TN 21 BY 1639,7402,0.0,0.0,206.1,03/09/2025 23:57:14,13.159276666666667,80.11026833333334,11026833333334,2025-09-04T23:18:05.935374
TN 21 BY 1639,7402,0.0,0.0,206.09,03/09/2025 23:57:03,13.159276666666667,80.11026833333334,11026833333334,2025-09-04T23:18:05.935500
TN 21 BY 1639,7402,0.0,0.0,206.09,03/09/2025 23:56:54,13.159276666666667,80.11026833333334,11026833333334,2025-09-04T23:18:05.935617
TN 21 BY 1639,7402,0.0,0.0,206.09,03/09/2025 23:56:48,13.159276666666667,80.11026833333334,11026833333334,2025-09-04T23:18:05.935754
TN 21 BY 1639,7402,0.0,0.0,206.09,03/09/2025 23:56:34,13.159276666666667,80.11026833333334,11026833333334,2025-09-04T23:18:05.935887
TN 21 BY 1639,7402,0.0,0.0,206.08,03/09/2025 23:56:24,13.159276666666667,80.11026833333334,11026833333334,2025-09-04T23:18:05.936094
