vehicle_number,device_id,speed,total_distance,fuel,data_received,latitude,longitude,location_text,scraped_at
TN 87 8020,8820,0.0,0.0,274.46,03/09/2025 23:58:34,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.016735
TN 87 8020,8820,0.0,0.0,274.46,03/09/2025 23:58:04,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.016928
TN 87 8020,8820,0.0,0.0,274.43,03/09/2025 23:57:34,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.017056
TN 87 8020,8820,0.0,0.0,274.46,03/09/2025 23:57:06,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.017232
TN 87 8020,8820,0.0,0.0,274.46,03/09/2025 23:56:35,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.017424
TN 87 8020,8820,0.0,0.0,274.43,03/09/2025 23:56:05,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.017572
TN 87 8020,8820,0.0,0.0,274.42,03/09/2025 23:55:35,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.017701
TN 87 8020,8820,0.0,0.0,274.45,03/09/2025 23:55:06,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.017826
TN 87 8020,8820,0.0,0.0,274.44,03/09/2025 23:54:37,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.018008
TN 87 8020,8820,0.0,0.0,274.43,03/09/2025 23:54:06,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.018217
TN 87 8020,8820,0.0,0.0,274.44,03/09/2025 23:53:36,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.018378
TN 87 8020,8820,0.0,0.0,274.42,03/09/2025 23:53:07,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.018563
TN 87 8020,8820,0.0,0.0,274.46,03/09/2025 23:52:37,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.018739
TN 87 8020,8820,0.0,0.0,274.42,03/09/2025 23:52:08,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.018940
TN 87 8020,8820,0.0,0.0,274.42,03/09/2025 23:51:37,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.019107
TN 87 8020,8820,0.0,0.0,274.41,03/09/2025 23:51:08,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.019253
TN 87 8020,8820,0.0,0.0,274.45,03/09/2025 23:50:38,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.019406
TN 87 8020,8820,0.0,0.0,274.44,03/09/2025 23:50:08,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.019564
TN 87 8020,8820,0.0,0.0,274.46,03/09/2025 23:49:39,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.019685
TN 87 8020,8820,0.0,0.0,274.42,03/09/2025 23:49:09,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.019807
TN 87 8020,8820,0.0,0.0,274.42,03/09/2025 23:48:39,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.019988
TN 87 8020,8820,0.0,0.0,274.44,03/09/2025 23:48:09,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.020139
TN 87 8020,8820,0.0,0.0,274.41,03/09/2025 23:47:40,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.020285
TN 87 8020,8820,0.0,0.0,274.42,03/09/2025 23:47:10,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.020455
TN 87 8020,8820,0.0,0.0,274.46,03/09/2025 23:46:40,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.020612
TN 87 8020,8820,0.0,0.0,274.4,03/09/2025 23:46:11,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.020763
TN 87 8020,8820,0.0,0.0,274.36,03/09/2025 23:45:41,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.020928
TN 87 8020,8820,0.0,0.0,274.44,03/09/2025 23:45:11,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.021083
TN 87 8020,8820,0.0,0.0,274.42,03/09/2025 23:44:41,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.021216
TN 87 8020,8820,0.0,0.0,274.41,03/09/2025 23:44:11,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.021341
TN 87 8020,8820,0.0,0.0,274.42,03/09/2025 23:43:42,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.021490
TN 87 8020,8820,0.0,0.0,274.41,03/09/2025 23:43:12,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.021665
TN 87 8020,8820,0.0,0.0,274.42,03/09/2025 23:42:42,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.021817
TN 87 8020,8820,0.0,0.0,274.43,03/09/2025 23:42:12,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.021992
TN 87 8020,8820,0.0,0.0,274.4,03/09/2025 23:41:43,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.022153
TN 87 8020,8820,0.0,0.0,274.42,03/09/2025 23:41:14,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.022270
TN 87 8020,8820,0.0,0.0,274.41,03/09/2025 23:40:43,13.11792,80.26277333333333,26277333333333,2025-09-04T23:23:23.022374
