vehicle_number,device_id,speed,total_distance,fuel,data_received,latitude,longitude,location_text,scraped_at
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:58:51,13.11791,80.26309,26309,2025-09-04T23:22:05.413780
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:58:41,13.11791,80.26309,26309,2025-09-04T23:22:05.414013
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:58:31,13.11791,80.26309,26309,2025-09-04T23:22:05.414228
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:58:21,13.11791,80.26309,26309,2025-09-04T23:22:05.414454
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:58:11,13.11791,80.26309,26309,2025-09-04T23:22:05.414635
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:58:04,13.11791,80.26309,26309,2025-09-04T23:22:05.414836
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:57:51,13.11791,80.26309,26309,2025-09-04T23:22:05.415011
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:57:41,13.11791,80.26309,26309,2025-09-04T23:22:05.415189
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:57:31,13.11791,80.26309,26309,2025-09-04T23:22:05.415392
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:57:20,13.11791,80.26309,26309,2025-09-04T23:22:05.415568
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:57:10,13.11791,80.26309,26309,2025-09-04T23:22:05.415848
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:57:03,13.11791,80.26309,26309,2025-09-04T23:22:05.416078
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:56:50,13.11791,80.26309,26309,2025-09-04T23:22:05.416269
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:56:40,13.11791,80.26309,26309,2025-09-04T23:22:05.416475
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:56:30,13.11791,80.26309,26309,2025-09-04T23:22:05.416652
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:56:20,13.11791,80.26309,26309,2025-09-04T23:22:05.416807
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:56:10,13.11791,80.26309,26309,2025-09-04T23:22:05.416926
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:56:03,13.11791,80.26309,26309,2025-09-04T23:22:05.417057
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:55:50,13.11791,80.26309,26309,2025-09-04T23:22:05.417180
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:55:40,13.11791,80.26309,26309,2025-09-04T23:22:05.417291
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:55:30,13.11791,80.26309,26309,2025-09-04T23:22:05.417426
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:55:20,13.11791,80.26309,26309,2025-09-04T23:22:05.417580
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:55:10,13.11791,80.26309,26309,2025-09-04T23:22:05.417738
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:55:02,13.11791,80.26309,26309,2025-09-04T23:22:05.417868
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:54:50,13.11791,80.26309,26309,2025-09-04T23:22:05.418050
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:54:40,13.11791,80.26309,26309,2025-09-04T23:22:05.418197
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:54:29,13.11791,80.26309,26309,2025-09-04T23:22:05.418326
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:54:19,13.11791,80.26309,26309,2025-09-04T23:22:05.418456
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:54:09,13.11791,80.26309,26309,2025-09-04T23:22:05.418607
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:54:02,13.11791,80.26309,26309,2025-09-04T23:22:05.418753
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:53:49,13.11791,80.26309,26309,2025-09-04T23:22:05.418861
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:53:39,13.11791,80.26309,26309,2025-09-04T23:22:05.418976
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:53:29,13.11791,80.26309,26309,2025-09-04T23:22:05.419142
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:53:19,13.11791,80.26309,26309,2025-09-04T23:22:05.419297
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:53:09,13.11791,80.26309,26309,2025-09-04T23:22:05.419410
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:53:02,13.11791,80.26309,26309,2025-09-04T23:22:05.419556
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:52:49,13.11791,80.26309,26309,2025-09-04T23:22:05.419692
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:52:39,13.11791,80.26309,26309,2025-09-04T23:22:05.419850
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:52:29,13.11791,80.26309,26309,2025-09-04T23:22:05.420023
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:52:19,13.11791,80.26309,26309,2025-09-04T23:22:05.420163
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:52:09,13.11791,80.26309,26309,2025-09-04T23:22:05.420286
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:52:01,13.11791,80.26309,26309,2025-09-04T23:22:05.420445
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:51:48,13.11791,80.26309,26309,2025-09-04T23:22:05.420631
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:51:38,13.11791,80.26309,26309,2025-09-04T23:22:05.420805
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:51:28,13.11791,80.26309,26309,2025-09-04T23:22:05.420984
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:51:18,13.11791,80.26309,26309,2025-09-04T23:22:05.421127
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:51:08,13.11791,80.26309,26309,2025-09-04T23:22:05.421254
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:51:01,13.11791,80.26309,26309,2025-09-04T23:22:05.421384
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:50:48,13.11791,80.26309,26309,2025-09-04T23:22:05.421496
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:50:38,13.11791,80.26309,26309,2025-09-04T23:22:05.421872
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:50:28,13.11791,80.26309,26309,2025-09-04T23:22:05.422052
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:50:18,13.11791,80.26309,26309,2025-09-04T23:22:05.422229
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:50:08,13.11791,80.26309,26309,2025-09-04T23:22:05.422398
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:50:01,13.11791,80.26309,26309,2025-09-04T23:22:05.422586
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:49:48,13.11791,80.26309,26309,2025-09-04T23:22:05.422792
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:49:38,13.11791,80.26309,26309,2025-09-04T23:22:05.423023
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:49:28,13.11791,80.26309,26309,2025-09-04T23:22:05.423230
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:49:18,13.11791,80.26309,26309,2025-09-04T23:22:05.423432
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:49:07,13.11791,80.26309,26309,2025-09-04T23:22:05.423632
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:49:00,13.11791,80.26309,26309,2025-09-04T23:22:05.423852
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:48:47,13.11791,80.26309,26309,2025-09-04T23:22:05.424042
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:48:37,13.11791,80.26309,26309,2025-09-04T23:22:05.424227
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:48:27,13.11791,80.26309,26309,2025-09-04T23:22:05.424364
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:48:17,13.11791,80.26309,26309,2025-09-04T23:22:05.424548
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:48:07,13.11791,80.26309,26309,2025-09-04T23:22:05.424706
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:48:00,13.11791,80.26309,26309,2025-09-04T23:22:05.424854
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:47:47,13.11791,80.26309,26309,2025-09-04T23:22:05.425009
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:47:37,13.11791,80.26309,26309,2025-09-04T23:22:05.425150
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:47:27,13.11791,80.26309,26309,2025-09-04T23:22:05.425297
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:47:17,13.11791,80.26309,26309,2025-09-04T23:22:05.425433
TN 87 2299,7602,0.0,0.0,0.0,03/09/2025 23:47:07,13.11791,80.26309,26309,2025-09-04T23:22:05.425586
